data_compra; data_vencimento; descricao; parcela; tipo_conta;  valor ; categoria_id; usuario_id
08/02/2023;13/11/2023;Amazon;01/jan;DESPESA;82.84;1;3
25/02/2023;13/11/2023;MadeiraMadeira;01/jan;DESPESA;24.58;1;2
23/03/2023;13/11/2023;Amazon;01/jan;DESPESA;39.29;4;2
06/06/2023;13/11/2023;FernandoRamos;01/jan;DESPESA;22.61;3;2
06/06/2023;13/11/2023;Shein;01/jan;DESPESA;15.07;2;6
11/06/2023;13/11/2023;CartPanda (Presente Miri);01/jan;DESPESA;20.07;4;2
04/10/2023;13/11/2023;Lojas Kelli;01/jan;DESPESA;15.48;5;1
04/10/2023;13/11/2023;Shein;01/jan;DESPESA;58.25;2;4
04/10/2023;13/11/2023;Shein;01/jan;DESPESA;9.45;1;2
04/10/2023;13/11/2023;Dell;01/jan;DESPESA;18.42;3;4
04/10/2023;13/11/2023;Magalu;01/jan;DESPESA;264;4;5
04/10/2023;13/11/2023;Terabyteshop;01/jan;DESPESA;54.03;3;3
04/10/2023;13/11/2023;Maria Eduarda Oro (Tolevel);01/jan;DESPESA;74.72;5;2
04/10/2023;13/11/2023;Kingdom Umuarama;01/jan;DESPESA;95.75;3;2
04/10/2023;13/11/2023;Lojas Kelli;01/jan;DESPESA;25;4;3
04/10/2023;13/11/2023;Favo de Mel;01/jan;DESPESA;5.5;1;4
04/10/2023;13/11/2023;Shein;01/jan;DESPESA;8.01;4;3
04/10/2023;13/11/2023;Shein;01/jan;DESPESA;9.15;1;6
05/10/2023;13/11/2023;Burger King;01/jan;DESPESA;35.8;2;3
05/10/2023;13/11/2023;Melimais;01/jan;DESPESA;14.99;4;6
05/10/2023;13/11/2023;Amazon;01/jan;DESPESA;44.7;3;4
05/10/2023;13/11/2023;Amazon;01/jan;DESPESA;59.78;2;4
05/10/2023;13/11/2023;Amazon;01/jan;DESPESA;325.95;4;6
05/10/2023;13/11/2023;Havan;01/jan;DESPESA;59.99;4;4
05/10/2023;13/11/2023;Cresci Perdi;01/jan;DESPESA;55;5;2
06/10/2023;13/11/2023;Pizza;01/jan;DESPESA;57.99;3;6
07/10/2023;13/11/2023;Primato;01/jan;DESPESA;43.49;5;2
08/10/2023;13/11/2023;Auto Posto Panambi;01/jan;DESPESA;150;2;4
08/10/2023;13/11/2023;Éskimó;01/jan;DESPESA;45;2;5
08/10/2023;13/11/2023;Havan;01/jan;DESPESA;27.49;1;5
08/10/2023;13/11/2023;Kcw Atacado e Varejo (Loja 10);01/jan;DESPESA;42;2;3
08/10/2023;13/11/2023;Max Atacadista;01/jan;DESPESA;563.46;2;5
08/10/2023;13/11/2023;A Casa do Pao;01/jan;DESPESA;79.62;4;2
09/10/2023;13/11/2023;Pizza;01/jan;DESPESA;64.99;4;2
09/10/2023;13/11/2023;Shein;01/jan;DESPESA;16.25;5;4
10/10/2023;13/11/2023;Primato;01/jan;DESPESA;11.24;2;2
10/10/2023;13/11/2023;Kcw Atacado e Varejo (Loja 10);01/jan;DESPESA;56;2;3
10/10/2023;13/11/2023;Max Atacadista;01/jan;DESPESA;104.4;2;4
10/10/2023;13/11/2023;Unipar;01/jan;DESPESA;49.88;5;4
11/10/2023;13/11/2023;Max Atacadista;01/jan;DESPESA;19.61;3;3
12/10/2023;13/11/2023;Xbox Game Pass;01/jan;DESPESA;49.99;3;3
15/10/2023;13/11/2023;Burger King;01/jan;DESPESA;30.8;1;1
15/10/2023;13/11/2023;Zé Delivery;01/jan;DESPESA;33.68;4;1
17/10/2023;13/11/2023;Cantina Unipar;01/jan;DESPESA;9.5;5;5
19/10/2023;13/11/2023;Lanche;01/jan;DESPESA;35;2;6
19/10/2023;13/11/2023;Lanche;01/jan;DESPESA;38;5;2
20/10/2023;13/11/2023;Bonettes Petiscaria;01/jan;DESPESA;20;3;1
20/10/2023;13/11/2023;Favo de Mel;01/jan;DESPESA;11;4;6
20/10/2023;20/10/2023;Pix Leo (Favo de Mel);01/jan;RECEITA;3.5;2;2
20/10/2023;13/11/2023;Pizza;01/jan;DESPESA;60.49;2;1
21/10/2023;13/11/2023;São João;01/jan;DESPESA;59.22;1;2
21/10/2023;13/11/2023;Amazon;01/jan;DESPESA;62.45;2;2
21/10/2023;13/11/2023;Amazon;01/jan;DESPESA;62.45;2;1
21/10/2023;13/11/2023;Amazon;01/jan;DESPESA;62.45;4;6
21/10/2023;13/11/2023;Amazon;01/jan;DESPESA;59.35;2;1
21/10/2023;13/11/2023;Lanche;01/jan;DESPESA;65.5;2;6
21/10/2023;13/11/2023;Açaí;01/jan;DESPESA;22.99;5;2
21/10/2023;21/10/2023;Pix Marly (aparelho TV);01/jan;RECEITA;249;4;4
22/10/2023;22/10/2023;The Best Açaí;01/jan;DESPESA;56.89;5;6
22/10/2023;22/10/2023;PitStop;01/jan;DESPESA;28.9;3;6
22/10/2023;22/10/2023;Primato;01/jan;DESPESA;24.98;2;4
